year,ISO_code,countries,ECONOMIC FREEDOM,rank,quartile,1a_government_consumption,1b_transfers,1c_gov_enterprises,1_size_government,2c_protection_property_rights,2e_integrity_legal_system,2j_gender_adjustment,2_property_rights,3a_money_growth,3b_std_inflation,3c_inflation,3d_freedom_own_foreign_currency,3_sound_money,4a_tariffs,4c_black_market,4d_control_movement_capital_ppl,4_trade,5a_credit_market_reg,5_regulation
1970,CHL,Chile,3.58,53,4,7.202496904,5.944246489,2,5.048914464,0,7.875,0.777777778,1.019288889,4.530253934,7.54,1.862,10,5.983063483,4.6,0.2,2,2.266666667,6.148481816,5.134636847
1970,COL,Colombia,4.81,41,4,8.432819389,9.332425068,4,6.216409694,2.3,2.825,0.888888889,2.659762238,7.985569258,8.98,8.02,0,6.246392314,4.6,7.8,0,4.133333333,8,5.157306667
1970,ECU,Ecuador,4.22,52,4,8.006411673,8.86239782,2,5.003205837,2.3,6.675,0.888888889,2.659762238,8.689357313,9.284,8.174,0,6.536839328,0.4,5.6,2,2.666666667,5.315315315,4.360714387
1970,ISL,Iceland,5.95,28,3,6.672593665,7.343324251,7,6.836296832,8.3,10,1,7.09436087,8.693531518,7.564,6.714,0,5.742882879,3.333333333,9,0,4.111111111,9.209209209,5.395794532
1970,IRN,Iran,5.77,32,3,2.318399362,8.959202209,2,5.479601105,4.9,2.05,0.555555556,3.651221418,9.64,9.56,9.666,5,8.4665,2.4,9,5,5.466666667,9.72972973,3.739907668
1970,KOR,"Korea, South",5.84,31,3,8.461119061,9.873621,6,8.11158002,6.5,6.8,0.777777778,5.193085991,5.674572867,9.288,6.174,0,5.284143217,8.333333333,6,0,4.777777778,9.95995996,4.815577063
1970,MEX,Mexico,6.78,15,2,9.353526639,9.524127003,4,7.625884547,4.9,7.075,1,4.694427536,9.305004477,9.212,8.208,10,9.181251119,4.8,10,2,5.6,4.724724725,4.870344531
1970,MAR,Morocco,4.74,43,4,7.627118441,8.760217984,2,4.813559221,3.6,2.05,0.444444444,2.712177857,9.474489101,9.024,9.306,0,6.951122275,5.666666667,7.8,0,4.488888889,5,4.5876015
1970,NGA,Nigeria,4.28,49,4,9.017051401,9.91904849,10,9.64536663,2.8,1.625,0.925925926,3.013355341,8.388710053,2.068,0,0,2.614177513,5.6,0,0,1.866666667,2,4.821793333
1970,ARG,Argentina,5.67,33,3,7.928460123,7.738419619,4,5.964230062,3.6,5.775,0.888888889,3.546694123,6.412953636,6.216,8.84,10,7.867238409,2.376666667,10,2,2.758888889,6.979479479,5.30538974
1970,AUS,Australia,6.93,14,2,6.166002746,7.602179837,4,5.083001373,9.6,10,1,8.033465217,9.964861541,9.608,8.904,10,9.619215385,7.533333333,10,2,6.511111111,7.921921922,5.386294426
1970,AUT,Austria,6.51,19,2,5.453119774,6.065440216,2,5.759279995,9.075,10,0.333333333,8.001915612,9.742178307,9.708,9.052,5,8.375544577,8.266666667,10,2,6.755555556,7.156156156,5.161494745
1970,BEL,Belgium,7.44,6,1,6.393464462,4.476514484,6,5.434989473,10,10,0.555555556,6.491722224,9.748076383,9.724,9.09,10,9.640519096,9.733333333,10,10,9.911111111,8.458765392,5.700799363
1970,BRA,Brazil,5.28,38,3,7.592824174,5.925411587,4,6.12955894,7,6.7,0.555555556,4.78742174,5.459782711,6.92,6.576,5,5.988945678,5.6,7.2,0,4.266666667,6.442776109,5.241610598
1970,CAN,Canada,8,3,1,3.768244588,7.792915531,8,4.89029003,10,10,1,8.3465,9.925546959,9.812,9.036,10,9.69338674,8.4,10,8,8.8,9.065732399,8.2572162
1970,COD,"Congo, Dem. R.",4.26,51,4,7.207953604,9.918256131,0,3.603976802,1.825,1.625,0.333333333,1.593123576,6.957202272,0,9.34,10,6.574300568,0,6.2,2,2.733333333,3.438438438,4.130111942
1970,DNK,Denmark,7.39,9,1,3.738410981,4.877384196,6,3.345331096,9.9,10,1,8.242155072,9.311825939,9.724,8.332,0,6.841956485,8.733333333,10,5,7.911111111,9,6.55165
1970,FIN,Finland,7.12,11,1,5.782667744,6.267029973,7,6.391333872,8.3,10,1,7.09436087,8.973869207,8.768,9.23,5,7.992967302,9,10,2,7,9.61961962,7.09855981
1970,FRA,France,6.51,19,2,5.811066568,5.083300856,5.5,5.447183712,8.7,9.55,0.888888889,6.995873672,9.838385504,9.436,8.874,0,7.037096376,9.733333333,9.6,2,7.111111111,8.463129796,5.952314898
1970,DEU,Germany,7.4,8,1,5.175827167,6.103542234,6.25,4.426456467,10,9.55,1,8.3465,9.42,9.16,9.312,10,9.473,9.666666667,10,8,9.222222222,7.802802803,5.548818068
1970,GRC,Greece,6.47,21,2,8.520863945,9.608504109,6,8.043122685,6.1,8.275,1,5.529186957,9.634558746,9.564,9.218,5,8.354139686,6.866666667,9.6,2,6.155555556,4.901568235,4.254200784
1970,GTM,Guatemala,6.69,17,2,9.057256948,9.939074503,8,8.99877715,1.875,1.625,0.777777778,2.135930989,9.759623984,9.204,9,0,6.990905996,5.933333333,8.2,2,5.377777778,8.75975976,5.412216196
1970,HKG,Hong Kong,8.34,1,1,8.865154958,9.904632153,10,9.621718319,9.1,9.55,1,7.720430435,8.97,8.256,8.288,10,8.848,10,10,5,8.333333333,10,7.159230848
1970,IND,India,5.08,40,3,8.685788321,8.882833788,4,4.228596107,4.1,7,0.777777778,3.616318197,9.161451918,8.152,9.668,0,6.745362979,0.066666667,0,0,2.888888889,5.305972639,5.734127638
1970,IDN,Indonesia,4.27,50,4,9.035636652,9.395021125,2,6.810219259,4.5,2.05,0.333333333,2.920928502,0,0,7.276,10,4.319,5.4,6.6,0,4,1,3.311983333
1970,IRL,Ireland,6.75,16,2,6.9026986,6.532399257,6,6.478365952,10,7.875,1,8.3465,9.604475842,8.916,8.054,0,6.643618961,5.4,10,5,6.8,6.437725628,5.487090461
1970,ISR,Israel,4.79,42,4,0.798435718,7.202709474,10,4.000572596,7.4,3.325,0.962962963,6.348508132,9.340619047,8.052,8.086,0,6.369654762,4.066666667,4,2,3.355555556,2.967967968,3.871263418
1970,ITA,Italy,6.37,23,2,6.393278752,5.877725148,5,6.13550195,7,8.3,0.888888889,5.813297826,7.796437888,9.264,8.626,0,6.421609472,9.866666667,9.6,5,8.155555556,6.932599266,5.328382966
1970,JPN,Japan,7.68,5,1,8.100443168,9.702444604,10,9.267629258,9.6,9.55,1,8.033465217,9.288096484,9.724,8.708,0,6.930024121,8.133333333,9.8,2,6.644444444,7.153153153,7.53315991
1970,KEN,Kenya,5.11,39,3,5.509456918,9.69568157,4,4.801284622,4.9,4.125,1,4.694427536,8.905429389,7.748,6.936,0,5.897357347,6.266666667,3.8,0,3.355555556,7.958958959,6.821103517
1970,LUX,Luxembourg,8.01,2,1,7.75181709,5.297140689,7.25,6.524478889,10,10,1,8.3465,9.41213246,8.044,6.982,10,8.342,9.873333333,10,10,9.957777778,10,6.898943798
1970,MDG,Madagascar,5.43,35,3,7.598448312,9.005215125,0,5.534554479,2.0875,5.4375,0.555555556,2.998970707,9.137397167,9,8.62,0,8.919132389,0,9.6,0,3.2,4.74974975,4.066804371
1970,MYS,Malaysia,6.25,24,2,5.473986054,8.138631164,4,5.870872406,6.5,7.075,0.777777778,5.193085991,9.710394669,8.844,9.922,0,7.119098667,4.666666667,9.8,5,6.488888889,7.43993994,6.601697423
1970,NLD,Netherlands,7.01,13,1,5.806561589,5.03669185,4,4.947751146,10,10,0.888888889,7.882805556,9.526388248,9.608,8.766,10,9.475097062,8.866666667,10,2,6.955555556,8.908908909,5.771437788
1970,NZL,New Zealand,6.62,18,2,6.745411073,4.40054496,4,5.372705536,9.6,10,1,8.033465217,9.626951697,7.776,7.336,0,6.184737924,8.2,7.8,5,7,6.483983984,6.504308659
1970,NOR,Norway,6.19,26,2,4.712997857,4.535194054,4,4.41606397,9.1,10,1,7.720430435,9.005655854,8.56,7.438,0,6.250913964,8.933333333,10,0,6.311111111,8.358358358,6.264162513
1970,ALB,Albania,4.714375,91,4,7.732944592,4.86886921,4.6875,4.927106069,4.725,6.6375,0.962962963,5.140078938,3.288782926,9.63,9.956175,0,6.528725,5.842083333,0,0,5.894476496,1.421285885,3.127621817
1970,DZA,Algeria,3.74,93,4,5.536332368,8.037037164,7,6.268166184,3.6,3.25,0.5,2.816492391,7.844102442,9.352,8.916,0,6.52802561,7.16,0,0,2.386666667,0,2.885457246
1970,AGO,Angola,4.020102539,140,4,2.290950956,8.638175478,0,3.643042145,4.114583333,5,0.555555556,3.151532852,1.193843545,0,5.921209472,1.667480469,2.195633371,8.393836676,10,2.377641254,6.198483801,7.111328125,4.91041819
1970,ARM,Armenia,7.343349609,39,2,8.342518712,8.503262304,4.671875,7.836445254,3.205248495,5,1,5.133412352,8.527113725,9.027877002,9.029176143,10,9.146041717,8.54485243,10,6.745928605,7.574740827,9.330775368,7.029515461
1970,AZE,Azerbaijan,6.130058594,94,3,7.064775749,7.08719346,0.671875,5.287992302,3.469943379,6.460760091,0.923076923,5.464367116,8.731052207,8.166869847,8.324495892,5,7.298892399,7.530148438,10,4.114674843,6.218132817,7.602112004,6.287646343
1970,BHS,Bahamas,6.355,18,1,6.698034547,9.752465748,7,8.424508637,6.025,6.6375,0.945945946,5.557318638,9.010418723,9.296,8.77,0,9.033,4.733333333,7.2,0,3.977777778,9.73973974,6.995451224
1970,BHR,Bahrain,7.1925,10,1,2.436966728,9.856948229,3,6.13231916,6.025,6.6375,0.536585366,4.388248559,7.9,9.44,9.674,10,9.004666667,9.336666667,10,2,7.112222222,10,7.115811175
1970,BGD,Bangladesh,3.285,86,4,9.944376715,9.277929155,1,4.648125572,2.2,1.625,0.777777778,2.239824207,7.424304486,7.012,9.898,0,8.455,2.633333333,0,0,0.877777778,0,4.823346636
1970,BRD,Barbados,5.695,32,2,6.996041108,9.339555062,8,8.11186539,6.025,6.6375,0.871794872,5.345554715,9.668096159,9.08,8.532,0,9.093365386,6.6,6.9,0,4.733333334,9.54954955,6.648770905
1970,BLZ,Belize,5.5425,42,2,6.521952874,9.359673025,2,5.323714483,5.581296018,0,0.837837838,6.442286013,8.658209152,8.952,8.526,0,8.739,4.316666667,3.4,5,3.905555555,8.614114114,6.848391263
1970,BEN,Benin,4.485,75,3,8.740515711,10,0,4.370257855,3.95,5.55,0.111111111,2.533968134,8.809841889,9.3,8.99,0,6.774960472,3.4,9.6,0,4.333333334,4.87987988,5.068799912
1970,BOL,Bolivia,3.94,88,4,7.036137711,9.877208511,2,5.938604255,1.2,1.625,0.777777778,2.038545904,9.323539474,9.4,9.232,10,9.488884868,2.6,2.2,2,2.266666667,3.343343343,3.811055219
1970,BWA,Botswana,5.42,47,2,5.580960299,9.7352221,4,6.438727466,6.025,8.2375,1,6.298806311,9.46675708,9.492,9.784,0,9.638,3.93,4.6,5,5.917777778,7.796796797,6.456791116
1970,BGR,Bulgaria,5.65,40,2,9.040147781,5.367847411,0,6.743014809,8.7,8.2,1,7.248060391,6.002024626,8.0175,8.007,0,5.7083125,7.16,0,0,2.386666667,0,4.080875427
1970,BDI,Burundi,3.945,73,4,8.783422794,9.327695667,0,4.391711397,3.95,5.55,0.862068966,4.24658108,9.142056545,8.432,8.964,0,8.846018848,0.933333334,5.4,0,0.611111111,3.152152152,5.020196238
1970,CMR,Cameroon,5.52,46,2,7.492543256,9.836512262,2,4.746271628,4.45,7.739136905,0.555555556,4.509906283,8.433494173,6.82,8.424,0,5.919373543,1.866666667,9.6,0,3.822222223,0,5.157306667
1970,CAF,Central Afr. Rep.,4.315,80,3,5.317450487,9.624520367,0,2.658725244,3.95,5.55,0.666666667,3.800952202,8.735643491,7.268,9.102,0,6.276410873,3.1,9.6,0,4.25,0,2.801749253
1970,TCD,Chad,4.705,77,4,4.804615152,9.899523161,0,5.007638947,3.95,5.55,0.793103448,4.089300299,8.966546665,9.42,9.228,0,6.903636666,5.775,9.6,0,4.822222222,2,4.195728476
1970,COG,"Congo, Rep. Of",3.051666667,72,3,6.712618587,9.744624132,7,7.819080906,3.55,5.125,0.793103448,3.822142749,8.456103875,8.56,9.258,0,6.568525969,4.88,9.6,0,4.826666667,0,5.241185
1970,CRI,Costa Rica,6.11,29,2,7.47916025,9.805628384,6,7.761596211,4.65,6.675,1,5.218013449,9.212966908,9.108,8.536,10,9.214241727,7.266666667,10,5,7.422222222,9.67967968,7.086928145
1970,CIV,Cote d'Ivoire,5.235,52,2,6.130031002,9.116811631,4,5.065015501,6.025,5.7,0.555555556,4.478498313,9.042607655,9.22,9.402,0,6.916151914,3.171666667,9.6,0,4.273888889,4.278278279,6.101725064
1970,HRV,Croatia,5.4925,89,4,2.113870617,5.479195626,7.65625,4.850930279,3.177083375,8.333333333,0.962962963,6.378416949,2.84605959,3.146818028,2.625,5,2.765625,7.484583333,2.625,0.625,6.116979167,1.360730744,5.214170518
1970,CYP,Cyprus,5.8,33,2,6.66488145,9.082939696,10,9.541469848,6.225,4.45,0.897435897,4.739515729,7.200532014,8.814,9.52,0,4.76,6.2,9.8,0,5.333333333,8.53953954,5.927198937
1970,CZE,Czech Rep.,6.096875,69,3,3.034325914,0.749318801,10,3.511111391,7.85,8.2375,0.962962963,6.82704848,7.330264227,6.101789533,8.365367592,5,6.699355338,8.370208333,10,0,8.036900135,0,4.138069149
1970,DOM,Dominican Rep.,5.525,43,2,7.904481805,9.594571801,6,7.833017869,4.325,8.275,0.777777778,5.365928226,9.173248085,9.136,9.58,0,6.972312021,0,5.6,2,2.533333333,6.726726727,6.726226123
1970,EGY,Egypt,4.035,70,4,3.706966016,4.386920981,2,2.853483008,0,3.325,0.777777778,1.019288889,9.556857806,9.472,9.56,0,7.147214452,0.446666667,0,0,3.148888889,4.467133801,4.555404462
1970,SLV,El Salvador,4.175,83,4,8.117358778,9.427792916,10,9.058679389,1.875,1.625,1,2.402922362,9.672669386,9.16,9.032,0,6.966167346,3.733333333,6.4,2,4.044444444,9.88988989,5.377371844
1970,EST,Estonia,6.7009375,45,2,4.953050417,6.275777012,8,5.460533704,5.227944683,6.666666667,1,7.278062881,2.860422286,7.3485,6.775,5,7.158875,9.785833333,3.125,2.5,5.136944445,1.5625,7.058406651
1970,GAB,Gabon,4.605,70,3,1.493930906,9.291553134,6,3.746965453,4.9,3.25,0.555555556,3.560317641,9.314165087,9.004,9.916,0,7.058541272,3.8,9.6,0,4.466666667,0,5.241185
1970,GHA,Ghana,3.215,84,4,7.431675904,9.485773469,2,4.729362343,2.825,1.625,0.777777778,2.511201114,9.671760157,7.596,9.416,0,6.670940039,0,0,0,0,6.076076076,4.825529656
1970,GNB,Guinea-Bissau,2.96875,114,4,5.698970236,0,0,4.520607323,1.7625,1.5125,0.794871795,2.102954647,0.834931002,8.698,8.131,0,5.609666667,5.3171875,5.7,0,3.558934295,4.056869369,3.834333765
1970,GUY,Guyana,3.594375,103,4,5.347208495,0,2,3.688015122,2.55,0.35,0.923076923,2.116211152,9.48567283,9.188,9.392,0,9.355224277,5.786666667,8.2,0,4.662222222,6.816816817,6.055335916
1970,HTI,Haiti,5.255,53,2,8.733894786,8.478967984,8,8.366947393,3.125,0.35,0.891891892,2.275377783,8.317255504,9.312,9.058,10,9.171813876,3.865,10,0,3.955,9.229229229,5.82088168
1970,HND,Honduras,5.5125,45,2,7.806897078,9.961386586,4,7.256094555,2.65,2.05,0.888888889,2.673625701,9.242356022,9.616,9.11,10,9.492089005,5.733333333,4,2,3.911111111,9.039039039,5.912295629
1970,HUN,Hungary,4.1725,84,4,7.3346652,1.532697548,0,3.6673326,7.85,8.2375,1,6.955860716,8.36,9.288,9.02,0,6.102666667,6.883333334,0,0,2.294444444,0,3.704779943
1970,JAM,Jamaica,4.2575,79,4,7.016075659,8.671662126,4,3.67202522,4.025,2.05,1,3.338128273,8.470615267,9.228,8.884,0,8.860871756,7.691666667,8.8,2,4.163888889,8.148148148,5.791337447
1970,KWT,Kuwait,4.1325,81,4,4.115230857,7.472241145,1.5,2.527298488,1.95,6.0625,0.592592593,2.262970883,6.443470907,9.704,9.886,10,9.863333333,9.2,10,2,7.066666667,10,5.133797224
1970,LVA,Latvia,6.21625,63,3,6.528613714,5.391691339,5.96875,5.334338928,3.767960807,8.333333333,1,6.808095954,2.405049205,8.359,6.83575,5,5.3516875,9.070416667,3,2.5,8.733234583,6.600231908,5.327743426
1970,LTU,Lithuania,5.9684375,34,1,4.58094256,7.16991228,9.333984375,5.574405601,3.352779235,7.786458333,1,2.260490944,2.569095021,2.094371976,7.60125,5,5.72328125,8.404017801,3.125,2.5,8.628948525,1.387324825,5.229177683
1970,MWI,Malawi,4.8,59,3,6.370051494,9.638097666,8,8.002716387,5.1,2.05,0.888888889,3.508839552,9.061025057,8.4,8.244,0,6.426256264,6.6,6.8,2,5.133333333,8.558558559,5.550502097
1970,MLI,Mali,5.8,29,2,8.519991568,9.509536785,10,9.259995784,2.425,5.125,0.714285714,3.375314615,9.132,6.884,8.778,0,6.1985,2.916666667,9.4,0,3.905555556,8.708708709,5.928122522
1970,MLT,Malta,5.5125,44,2,5.901472182,6.518287058,4,5.47325308,4.4,3.175,1,3.879664112,9.374111909,8.928,9.468,0,9.25670397,4.933333333,9.4,2,5.444444444,4.244244244,5.666370065
1970,MUS,Mauritius,5.055,50,3,7.287947271,9.257890431,4,6.848612568,6.025,8.2375,1,6.298806311,9.982251685,9.184,9.686,0,9.617417228,5.6,0,2,2.533333333,8.078078078,6.538150581
1970,NAM,Namibia,5.13125,77,3,2.876856509,9.24709767,0,1.438428254,2.040625,5.39375,0.25,2.701454042,7.332327309,7.343,6.272,0,4.538333333,8.29,6.65,2,5.67162037,7.848696294,6.784108923
1970,NPL,Nepal,5.645,38,2,9.416391904,9.61943692,2,6.708195952,5.036311231,0,0.555555556,4.115926903,9.123215494,7.204,8.59,0,6.229303874,0.6,0,0,0.2,0,5.225882872
1970,NIC,Nicaragua,3.11,102,4,8.532643792,9.250681199,4,6.266321896,1.95,2.05,0.888888889,2.440351004,8.888854159,8.912,9.774,10,9.39371354,7,6.2,5,6.066666667,0.550550551,2.934992626
1970,NER,Niger,5.09,51,3,9.146183771,9.522016562,4,6.573091886,3.875,6,0.285714286,3.018532015,9.486547572,7.756,8.572,0,6.453636893,4.966666667,9.6,0,4.855555556,9.55955956,5.315659557
1970,OMN,Oman,6.46875,24,1,0.05129959,9.267650853,0,3.106316814,4.725,7.6375,0.586206897,4.447871077,6.967134377,7.572,8.754,10,8.163,9.466666667,10,2,7.090277778,6.947447448,7.13720057
1970,CHN,China,3.935,89,4,5.372169889,8.28595453,0,2.94722792,6.35,8.2375,0.666666667,6.408578622,6.534402524,8.404,9.056,0,5.82,3.041666667,2,0,3.080555556,0,3.225840285
1970,JOR,Jordan,4.98,52,3,3.473991349,8.501362398,0,3.149502165,2.075,2.05,0.555555556,2.039710947,6.44,7.334,8.82,0,4.41,5.366666667,8.8,2,5.755555556,9.309309309,5.365796214
1970,MMR,Myanmar,3.7375,93,4,8.299412053,0,2,5.766470685,3.75,7,0.926829268,4.825988731,8.871000576,7.608,9.714,0,6.548250144,2.4,0,0,0.8,2.472472472,3.302747481
1980,ALB,Albania,4.6875,91,4,7.702251055,4.598092643,4.75,4.78028992,4.7,6.65,0.962962963,5.135285294,3.587763192,9.628,9.9649,0,6.530966667,5.855,0,0,5.893974359,1.137028708,2.996737453
1980,DZA,Algeria,3.79,91,4,4.649980982,8.055018992,4,4.324990491,4,3.3,0.625,3.059836441,8.352396985,7.7,4.868,0,5.230099246,7.66,0,0,2.553333333,0,2.895045988
1980,CAF,Central Afr. Rep.,4.29,78,3,7.673209104,9.624511985,0,3.836604552,4,5.8,0.666666667,3.888272953,7.155775943,7.504,6.346,0,5.251443986,2.933333333,9.6,0,4.177777778,0,4.331747395
1980,SLV,El Salvador,4.12,82,4,6.970276561,9.400544959,7,6.59270538,2.2,1.7,1,2.539384205,8.520664415,7.388,6.61,0,5.629666104,3.133333333,0,2,1.711111111,9.84984985,5.376952032
1980,HTI,Haiti,5.35,49,2,8.541666728,8.589577657,8,8.270833364,3,0,0.891891892,2.110412244,8.401228772,6.668,5.722,10,7.697807193,3.93,6,0,3.31,10,5.820356915
1980,ARG,Argentina,4.25,80,4,6.911764706,7.493188011,4,6.101238179,5.2,3.3,0.888888889,3.966360132,0,0,0,10,2.5,4.053333333,9.8,0,4.617777778,4.446112779,4.088039723
1980,AUS,Australia,6.85,12,1,4.932586425,7.384196185,6,5.079195653,7,10,1,7.262192771,8.56638948,9.396,8.032,10,8.99859737,7.35,9.8,2,6.383333333,8.379045712,6.53086844
1980,AUT,Austria,6.45,18,1,4.46477744,4.114441417,2,3.144804714,9.2,10,1,8.042893976,9.965590846,9.64,9,5,8.401397712,8.606666667,10,2,6.868888889,6.959292626,5.793729646
1980,BHS,Bahamas,6.28,22,1,6.807833799,10,7,8.45195845,6,6.65,0.945945946,5.554871705,8.432383122,8.584,7.998,0,6.25359578,4.32,6,0,3.44,8.619285953,6.984746031
1980,BHR,Bahrain,7.39,7,1,3.249288971,9.809264305,6,7.264638319,6,6.65,0.536585366,4.386316377,6.38,6.808,9.22,10,8.102,9.393333333,10,2,7.131111111,8.70970971,7.072990404
1980,BGD,Bangladesh,3.28,101,4,9.888753429,9.277929155,2,4.296251143,2.2,1.7,0.777777778,2.257230405,7.028608971,4.228,7.322,0,4.644652243,0.533333333,0,0,0.177777778,3.438104771,5.029096241
1980,BRD,Barbados,5.72,33,2,6.094915195,10,8,6.273728799,6,6.65,0.871794872,5.343201023,7.168853991,7.588,5.488,0,5.061213498,7.533333333,7.8,0,5.111111111,7.192525859,6.446211867
1980,BEL,Belgium,7.35,9,1,5.425360131,3.051771117,6,3.619282812,8.6,10,1,7.82603253,9.780269388,9.376,9.164,10,9.580067347,9.02,10,10,9.673333333,8.599455478,6.045811073
1980,BLZ,Belize,5.59,39,2,6.102729276,9.427792916,0,5.176840731,5.581257173,0,0.837837838,6.442286013,8.50380836,8.496,7.72,0,6.17995209,4.2,3.2,5,4.133333333,8.109109109,6.871480894
1980,BEN,Benin,4.56,70,3,9.346637083,10,0,4.673318541,4,5.8,0.111111111,2.592181968,8.217030254,8.74,7.962,0,6.229757564,2.933333333,9.6,0,4.177777778,5.313313313,5.147231191
1980,BOL,Bolivia,4.08,83,4,6.74874601,9.70027248,0,4.862254622,1.6,1.7,0.888888889,2.193493717,7.185490514,3.812,0.54,10,5.384372628,4.8,5.6,2,4.133333333,2.487487487,3.811055219
1980,BWA,Botswana,5.34,50,2,3.677164917,8.801089918,2,3.619563709,6,8.25,1,6.294064665,9.318181664,6.44,6.184,0,5.485545416,4.793333333,8,5,5.931111111,6.474474474,6.323039179
1980,BRA,Brazil,3.92,86,4,8.338574665,6.757493188,2,5.274016963,6.4,6.7,0.555555556,4.55572781,3.257959871,3.372,0,0,1.657489968,3.333333333,6.4,0,3.244444444,5.262262262,4.885140276
1980,BDI,Burundi,3.92,86,4,9.069700184,9.332467604,0,4.534850092,4,5.8,0.862068966,4.344139436,7.909655454,7.604,6.724,0,5.559413863,0,1,0,0.333333333,2.938271605,4.840432963
1980,CMR,Cameroon,5.55,45,2,8.178992102,9.918256131,7,8.365749411,4.6,8.3,0.555555556,4.497705325,7.827982054,7.648,7.15,0,5.656495513,2.666666667,9.6,0,4.088888889,3,5.157306667
1980,CAN,Canada,7.77,4,1,3.285766157,6.185286104,10,5.367763065,6.7,10,1,7.175448193,9.243164966,9.32,7.8,10,9.090791241,8.08,10,8,8.693333333,9.71971972,8.525543193
1980,CHL,Chile,5.05,57,3,7.359853613,6.621253406,4,4.995276755,6.4,8.3,0.777777778,5.718531845,0,0,4.248,5,2.312,8.711111111,8.8,2,6.503703704,7.543209877,5.697855926
1980,CHN,China,3.64,94,4,5.25203699,8.285507493,0,2.626018495,6,8.25,0.666666667,6.284587919,6,9.476,9.244,0,6.18,3.15,5,0,2.716666667,0,3.037680214
1980,COL,Colombia,4.59,69,3,8.068550921,9.346049046,2,5.353649992,4.6,3.3,1,3.982813988,6.629701536,8.332,4.478,0,4.859925384,4.05,6.8,0,3.616666667,8,5.157306667
1980,COD,"Congo, Dem. R.",2.84,102,4,9.035528047,9.972752044,0,5.002070023,1.7,1.7,0.333333333,1.577263365,4.38896821,0,0,0,1.097242052,4.206666667,0,2,2.068888889,4.344344344,4.434055452
1980,COG,"Congo, Rep. Of",4.67,66,3,3.723714539,9.390916785,2,2.861857269,4,5.8,0.793103448,4.183245383,8.775906018,7.036,5.972,0,5.445976505,7.466666667,9.6,0,5.688888889,3,5.157306667
1980,CRI,Costa Rica,5.52,46,2,5.367179227,8.501362398,4,5.717135406,4.6,6.7,1,5.206779988,7.717603773,8.216,6.234,10,8.041900943,3.233333333,0,2,1.744444444,8.183183183,6.896333734
1980,CIV,Cote d'Ivoire,5.2,52,2,5.539485068,9.005449591,2,5.386233665,6,5.4,0.555555556,4.382655164,8.661860148,6.18,5.172,0,5.003465037,2.983333333,9.6,0,4.194444444,6.556556557,6.206163664
1980,CYP,Cyprus,5.56,44,2,6.773880547,8.337874659,8,6.027938802,6.7,4.9,0.897435897,5.057593204,6.4,9.056,7.3,0,5.689,6.956666667,9.2,0,5.385555556,7.093093093,5.150505721
1980,DNK,Denmark,6.24,24,1,1.760821554,4.46866485,6,3.057371601,6.7,10,1,7.175448193,8.69852286,9.672,8.354,0,6.681130715,8.953333333,9.6,5,7.851111111,9.412746079,6.435356373
